"Unique ID","String Flags","Speaker","Japanese","English Translation"
"102000","3435921409","System","スキップしますか？","Skip?"
"102001","3435921409","System","選択肢までスキップしますか？","Skip to choices?"
"103000","3435921409","None","リヒター：","Richter: "
"103001","3435921409","None","リタ：","Rita: "
"103002","3435921409","None","ロイド：","Lloyd: "
"103003","3435921409","None","プレセア：","Presea: "
"103004","3435921409","None","アーチェ：","Arche: "
"103005","3435921409","None","クラトス：","Kratos: "
"103006","3435921409","None","スタン：","Stahn: "
"103007","3435921409","None","チェスター：","Chester: "
"103008","3435921409","None","ダオス：","Dhaos: "
"103009","3435921409","None","クレス：","Cress: "
"103010","3435921409","None","リオン：","Leon: "
"103011","3435921409","None","ユージーン：","Eugene: "
"103012","3435921409","None","セネル：","Senel: "
"103013","3435921409","None","ルーク：","Luke: "
"103014","3435921409","None","ティア：","Tear: "
"103015","3435921409","None","バルバトス：","Barbatos: "
"103016","3435921409","None","ファラ：","Farah: "
"103017","3435921409","None","アッシュ：","Asch: "
"103018","3435921409","None","カイウス：","Caius: "
"103019","3435921409","None","ルカ：","Ruca: "
"103020","3435921409","None","ユーリ：","Yuri: "
"103021","3435921409","None","アニス：","Anise: "
"103022","3435921409","None","コレット：","Colette: "
"103023","3435921409","None","ミント：","Mint: "
"103024","3435921409","None","フィリア：","Philia: "
"103025","3435921409","None","コングマン：","Kongman: "
"103026","3435921409","None","ナナリー：","Nanaly: "
"103027","3435921409","None","ハロルド：","Harold: "
"103028","3435921409","None","マオ：","Mao: "
"103029","3435921409","None","ジェイド：","Jade: "
"103030","3435921409","None","イリア：","Illia: "
"103031","3435921409","None","シング：","Shing: "
"103032","3435921409","None","ジュディス：","Judith: "
"103033","3435921409","None","コハク：","Kohaku: "
"103034","3435921409","None","カイル：","Kyle: "
"103035","3435921409","None","ルーク：","Luke: "
"103036","3435921409","None","ミュウ：","Mieu: "
"103037","3435921409","None","ディムロス：","Dymlos: "
"103038","3435921409","None","おじさん：","Man: "
"103039","3435921409","None","おばさん：","Lady: "
"103040","3435921409","None","青年：","Teen: "
"103041","3435921409","None","兵士：","Soldier: "
"103042","3435921409","None","強面のおじさん：","Tough Looking Man: "
"103043","3435921409","None","青年：","Teen: "
"103044","3435921409","None","女の子：","Girl: "
"103045","3435921409","None","女性：","Woman: "
"103046","3435921409","None","男の子：","Boy: "
"103100","3435921409","Unknown","？？？：","???:"
"105000","3435921409","System","スキットメッセージ００－０００","Skit message 00-000"
"105001","3435921409","System","スキットメッセージ００－００１","Skit message 00-001"
"105002","3435921409","System","スキットメッセージ００－００２","Skit message 00-002"
"200000","3435921409","Story","人間の歴史は『戦い』とともにありました。","The History of Humanity begins in ""Conflict"""
"200001","3435921409","Story","幾百の国が、
幾千の刻を越えて覇を競い、
幾億の命が露と消えていきました。","Hundreds of countries, 
competed with each other for victory, 
and in mere moments, millions of lives were lost."
"200002","3435921409","Story","流された涙が海となっても、
人は戦う事をやめません。","They continue to fight,
even if the tears they shed were to form a sea."
"200003","3435921409","Story","なぜ……？","Why...?"
"200004","3435921409","Story","誰かが憎いから？
何かが欲しいから？","Is it because of their hate?
Is it because of their desire for something?"
"200005","3435921409","Story","誰かを守りたいから？
何かを失いたくないから？","Is it to protect someone?
Is it because they didn’t want to lose something?"
"200006","3435921409","Story","正しい答えを教えてくれる人はいません。
戦う理由もまた、剣を振るって
問うしかないのです。","There is not one person who could tell you the answer.
Their only reason to fight,
is to swing their sword."
"200007","3435921409","Story","目の前に立ちはだかる敵に。
刃の如く研ぎあげた自らの心に。","To their enemy that stood before them.
Their heart sharpened like that of their blades."
"200008","3435921409","Story","それが、私たちの宿命（さだめ）","That is our Fate (Destiny)"
"200009","3435921409","Story","果てなく争う人間を、
『世界樹』が静かに見下ろす
異邦世界『ダイランティア』――","As conflict between man continued, 
the ""World Tree"" quietly
watched over the world of ""Dailantia"" --"
"200010","3435921409","Story","それが、私たちの世界。","This is our world."
"200020","3435921409","Story","かつて『ダイランティア』は、
世界樹が生み出す根源エネルギー
『マナ』に潤された世界でした。","Once upon a time, ""Dailantia"" was overflowing
with the ancient power known as
""Mana"" produced by the ""World Tree"""
"200021","3435921409","Story","でも、とどまることのない
人間の欲望は、世界に満ちていた
マナを枯渇させていき……","But, due to the never ending conflict
wrought by humanity’s greed,
the world’s mana began to decline..."
