"Unique ID","String Flags","Category","Japanese","English Translation","English Translation (34-Char/0x66 Hard-limit)"
"1000","3435921409","","%SCC000%","%SCC000%","%SCC000%"
"1001","3435921409","","%SCC001%","%SCC001%","%SCC001%"
"1002","3435921409","","%SCC002%","%SCC002%","%SCC002%"
"1003","3435921409","","%SCC003%","%SCC003%","%SCC003%"
"1004","3435921409","","%SCC004%","%SCC004%","%SCC004%"
"1005","3435921409","","%SCC005%","%SCC005%","%SCC005%"
"1006","3435921409","","%SCC006%","%SCC006%","%SCC006%"
"1007","3435921409","","%SCC007%","%SCC007%","%SCC007%"
"1008","3435921409","","%SCC008%","%SCC008%","%SCC008%"
"1009","3435921409","","%SCC009%","%SCC009%","%SCC009%"
"1010","3435921409","","%SCC010%","%SCC010%","%SCC010%"
"1011","3435921409","","%SCC011%","%SCC011%","%SCC011%"
"1012","3435921409","","%SCC012%","%SCC012%","%SCC012%"
"1013","3435921409","","%SCC013%","%SCC013%","%SCC013%"
"1014","3435921409","","%SCC014%","%SCC014%","%SCC014%"
"1015","3435921409","","%SCC015%","%SCC015%","%SCC015%"
"1016","3435921409","","%SCC016%","%SCC016%","%SCC016%"
"1017","3435921409","","%SCC017%","%SCC017%","%SCC017%"
"1018","3435921409","","%SCC018%","%SCC018%","%SCC018%"
"1019","3435921409","","%SCC019%","%SCC019%","%SCC019%"
"1020","3435921409","","%SCC020%","%SCC020%","%SCC020%"
"1021","3435921409","","%SCC021%","%SCC021%","%SCC021%"
"1022","3435921409","","%SCC022%","%SCC022%","%SCC022%"
"1023","3435921409","","%SCC023%","%SCC023%","%SCC023%"
"1024","3435921409","","%SCC024%","%SCC024%","%SCC024%"
"1025","3435921409","","%SCC025%","%SCC025%","%SCC025%"
"1026","3435921409","","%SCC026%","%SCC026%","%SCC026%"
"1027","3435921409","","%SCC027%","%SCC027%","%SCC027%"
"1028","3435921409","","%SCC028%","%SCC028%","%SCC028%"
"1029","3435921409","","%SCC029%","%SCC029%","%SCC029%"
"1030","3435921409","","%SCC030%","%SCC030%","%SCC030%"
"1031","3435921409","","%SCC031%","%SCC031%","%SCC031%"
"1032","3435921409","","%SCC032%","%SCC032%","%SCC032%"
"1033","3435921409","","%SCC033%","%SCC033%","%SCC033%"
"1034","3435921409","","%SCC034%","%SCC034%","%SCC034%"
"1035","3435921409","","%SCC035%","%SCC035%","%SCC035%"
"1036","3435921409","","%SCC036%","%SCC036%","%SCC036%"
"1037","3435921409","","%SCC037%","%SCC037%","%SCC037%"
"1038","3435921409","","%SCC038%","%SCC038%","%SCC038%"
"1039","3435921409","","%SCC039%","%SCC039%","%SCC039%"
"1040","3435921409","","%SCC040%","%SCC040%","%SCC040%"
"1041","3435921409","","%SCC041%","%SCC041%","%SCC041%"
"1042","3435921409","","%SCC042%","%SCC042%","%SCC042%"
"1043","3435921409","","%SCC043%","%SCC043%","%SCC043%"
"1044","3435921409","","%SCC044%","%SCC044%","%SCC044%"
"1045","3435921409","","%SCC045%","%SCC045%","%SCC045%"
"1046","3435921409","","%SCC046%","%SCC046%","%SCC046%"
"1047","3435921409","","%SCC047%","%SCC047%","%SCC047%"
"1048","3435921409","","%SCC048%","%SCC048%","%SCC048%"
"1049","3435921409","","%SCC049%","%SCC049%","%SCC049%"
"1050","3435921409","","%SCC050%","%SCC050%","%SCC050%"
"1051","3435921409","","%SCC051%","%SCC051%","%SCC051%"
"1052","3435921409","","%SCC052%","%SCC052%","%SCC052%"
"1053","3435921409","","%SCC053%","%SCC053%","%SCC053%"
"1054","3435921409","","%SCC054%","%SCC054%","%SCC054%"
"1055","3435921409","","%SCC055%","%SCC055%","%SCC055%"
"1056","3435921409","","%SCC056%","%SCC056%","%SCC056%"
"1057","3435921409","","%SCC057%","%SCC057%","%SCC057%"
"1058","3435921409","","%SCC058%","%SCC058%","%SCC058%"
"1059","3435921409","","%SCC059%","%SCC059%","%SCC059%"
"1060","3435921409","","%SCC060%","%SCC060%","%SCC060%"
"1061","3435921409","","%SCC061%","%SCC061%","%SCC061%"
"1062","3435921409","","%SCC062%","%SCC062%","%SCC062%"
"1063","3435921409","","%SCC063%","%SCC063%","%SCC063%"
"1064","3435921409","","%SCC064%","%SCC064%","%SCC064%"
"1065","3435921409","","%SCC065%","%SCC065%","%SCC065%"
"1066","3435921409","","%SCC066%","%SCC066%","%SCC066%"
"1067","3435921409","","%SCC067%","%SCC067%","%SCC067%"
"1068","3435921409","","%SCC068%","%SCC068%","%SCC068%"
"1069","3435921409","","%SCC069%","%SCC069%","%SCC069%"
"1070","3435921409","","%SCC070%","%SCC070%","%SCC070%"
"1071","3435921409","","%SCC071%","%SCC071%","%SCC071%"
"1072","3435921409","","%SCC072%","%SCC072%","%SCC072%"
"1073","3435921409","","%SCC073%","%SCC073%","%SCC073%"
"1074","3435921409","","%SCC074%","%SCC074%","%SCC074%"
"1075","3435921409","","%SCC075%","%SCC075%","%SCC075%"
"1076","3435921409","","%SCC076%","%SCC076%","%SCC076%"
"1077","3435921409","","%SCC077%","%SCC077%","%SCC077%"
"1078","3435921409","","%SCC078%","%SCC078%","%SCC078%"
"1079","3435921409","","%SCC079%","%SCC079%","%SCC079%"
"1080","3435921409","","%SCC080%","%SCC080%","%SCC080%"
"1081","3435921409","","%SCC081%","%SCC081%","%SCC081%"
"1082","3435921409","","%SCC082%","%SCC082%","%SCC082%"
"1083","3435921409","","%SCC083%","%SCC083%","%SCC083%"
"1084","3435921409","","%SCC084%","%SCC084%","%SCC084%"
"1085","3435921409","","%SCC085%","%SCC085%","%SCC085%"
"1086","3435921409","","%SCC086%","%SCC086%","%SCC086%"
"1087","3435921409","","%SCC087%","%SCC087%","%SCC087%"
"1088","3435921409","","%SCC088%","%SCC088%","%SCC088%"
"1089","3435921409","","%SCC089%","%SCC089%","%SCC089%"
"1090","3435921409","","%SCC090%","%SCC090%","%SCC090%"
"1091","3435921409","","%SCC091%","%SCC091%","%SCC091%"
"1092","3435921409","","%SCC092%","%SCC092%","%SCC092%"
"1093","3435921409","","%SCC093%","%SCC093%","%SCC093%"
"1094","3435921409","","%SCC094%","%SCC094%","%SCC094%"
"1095","3435921409","","%SCC095%","%SCC095%","%SCC095%"
"1096","3435921409","","%SCC096%","%SCC096%","%SCC096%"
"1097","3435921409","","%SCC097%","%SCC097%","%SCC097%"
"1098","3435921409","","%SCC098%","%SCC098%","%SCC098%"
"1099","3435921409","","%SCC099%","%SCC099%","%SCC099%"
"5000","3435921409","","TALES OF VS.","TALES OF VS.","TALES OF VS."
"5001","3435921409","","システムデータ","System Data","System Data"
"5002","3435921409","","ネットワーク連動データ","Network-Linked Data","Network-Linked Data"
"5003","3435921409","","　　プレイ時間：%SCC001%
　プレイヤー名：%SCC002%
　　　　難易度：%SCC003%
　　所持ガルド：%SCC004%","　　　　　Playtime: %SCC001%
　　Player name: %SCC002%
　　　Difficulty: %SCC003%
　Current Gald: %SCC004%","　　　　　Playtime: %SCC001%
　　Player name: %SCC002%
　　　Difficulty: %SCC003%
　Current Gald: %SCC004%"
"5004","3435921409","","　ネットワーク連動でダウンロードした
　スペシャルバトルデータです。","　Download Network
　Battle Data","　Download Network
　Battle Data"
"5100","3435921409","Story mode","ロイド＆コレット編","Lloyd ＆ Colette Arc","Lloyd ＆ Colette Arc"
"5101","3435921409","Story mode","クレス＆クラトス編","Cress ＆ Kratos Arc","Cress ＆ Kratos Arc"
"5102","3435921409","Story mode","リオン＆カイル編","Leon ＆ Kyle Arc","Leon ＆ Kyle Arc"
"5103","3435921409","Story mode","スタン編","Stahn Arc","Stahn Arc"
"5104","3435921409","Story mode","ルーク＆ティア編","Luke ＆ Tear Arc","Luke ＆ Tear Arc"
"5105","3435921409","Story mode","ジェイド＆アニス編","Jade ＆ Anise Arc","Jade ＆ Anise Arc"
"5106","3435921409","Story mode","ユーリ＆ファラ編","Yuri ＆ Farah Arc","Yuri ＆ Farah Arc"
"5107","3435921409","Story mode","マオ＆カイウス編","Mao ＆ Caius Arc","Mao ＆ Caius Arc"
"5108","3435921409","Story mode","ダオス編","Dhaos Arc","Dhaos Arc"
"6000","3435921409","","エディット","Edit","Edit"
"6001","3435921409","","ショップ","Shop","Shop"
"6002","3435921409","","セーブ","Save","Save"
"6003","3435921409","","ロード","Load","Load"
"6004","3435921409","","データ削除","Erase","Erase"
"6005","3435921409","","オプション","Option","Option"
"6010","3435921409","","プレイヤー操作：%SCC001%","Player Operation: %SCC001%","Player Operation: %SCC001%"
"6011","3435921409","","セットGP %SCC002% / 総GP %SCC003%
バトルランク %SCC005%
SP %SCC006% / %SCC007%","Set GP: %SCC002% /Total GP: %SCC003%
Battle Rank: %SCC005%
SP: %SCC006% / %SCC007%","Set GP: %SCC002% /Total GP: %SCC003%
Battle Rank: %SCC005%
SP: %SCC006% / %SCC007%"
"6012","3435921409","","所持ガルド %SCC008%","Current Gald: %SCC008%","Current Gald: %SCC008%"
"6013","3435921409","","プレイ時間 %SCC009%:%SCC010%:%SCC011%","Playtime: %SCC009%:%SCC010%:%SCC011%","Playtime: %SCC009%:%SCC010%:%SCC011%"
"7000","3435921409",""," "," "," "
"7001","3435921409","","-","-","-"
"7002","3435921409","","-:--","-:--","-:--"
"8000","3435921409","","スタン","Stahn","Stahn"
"8001","3435921409","","ルーティ","Rutee","Rutee"
"8002","3435921409","","リオン","Leon","Leon"
"8003","3435921409","","フィリア","Philia","Philia"
"8004","3435921409","","ウッドロウ","Woodrow","Woodrow"
"8005","3435921409","","マリー","Mary","Mary"
"8006","3435921409","","チェルシー","Chelsea","Chelsea"
"8007","3435921409","","コングマン","Kongman","Kongman"
"8008","3435921409","","リリス","Lilith","Lilith"
"8009","3435921409","","リッド","Reid","Reid"
"8010","3435921409","","ファラ","Farah","Farah"
"8011","3435921409","","フォッグ","Max","Max"
"8012","3435921409","","チャット","Chat","Chat"
"8013","3435921409","","レイス","Rassius","Rassius"
"8014","3435921409","","クレス","Cress","Cress"
"8015","3435921409","","ダオス","Dhaos","Dhaos"
"8016","3435921409","","すず","Suzu","Suzu"
"8017","3435921409","","貴重品18","Key Items 18","Key Items 18"
"8018","3435921409","","貴重品19","Key Items 19","Key Items 19"
"8019","3435921409","","貴重品20","Key Items 20","Key Items 20"
"8020","3435921409","","貴重品21","Key Items 21","Key Items 21"
"8021","3435921409","","貴重品22","Key Items 22","Key Items 22"
"8022","3435921409","","貴重品23","Key Items 23","Key Items 23"
"8023","3435921409","","貴重品24","Key Items 24","Key Items 24"
"8024","3435921409","","貴重品25","Key Items 25","Key Items 25"
"8025","3435921409","","貴重品26","Key Items 26","Key Items 26"
"8026","3435921409","","貴重品27","Key Items 27","Key Items 27"
"8027","3435921409","","貴重品28","Key Items 28","Key Items 28"
"8028","3435921409","","貴重品29","Key Items 29","Key Items 29"
"8029","3435921409","","貴重品30","Key Items 30","Key Items 30"
"8030","3435921409","","貴重品31","Key Items 31","Key Items 31"
"8031","3435921409","","貴重品32","Key Items 32","Key Items 32"
"9000","3435921409","","ユグドラシルバトルで手に入れたスタンのカード。
３枚集めるととあるモードでスタンが使用可能になります。","Obtain Stahn's card on Yggdrasil.
Collect all 3 cards to use Stahn.","Obtain Stahn's card on Yggdrasil.
Collect all 3 cards to use Stahn."
"9001","3435921409","","ユグドラシルバトルで手に入れたルーティのカード。
３枚集めるととあるモードでルーティが使用可能になります。","Obtain Rutee's card on Yggdrasil.
Collect all 3 cards to use Rutee.","Obtain Rutee's card on Yggdrasil.
Collect all 3 cards to use Rutee."
"9002","3435921409","","ユグドラシルバトルで手に入れたリオンのカード。
３枚集めるととあるモードでリオンが使用可能になります。","Obtain Leon's card in on Yggdrasil.
Collect all 3 cards to use Leon.","Obtain Leon's card in on Yggdrasil.
Collect all 3 cards to use Leon."
"9003","3435921409","","ユグドラシルバトルで手に入れたフィリアのカード。
３枚集めるととあるモードでフィリアが使用可能になります。","Obtain Philia's card on Yggdrasil.
Collect all 3 cards to use Philia.","Obtain Philia's card on Yggdrasil.
Collect all 3 cards to use Philia."
"9004","3435921409","","ユグドラシルバトルで手に入れたウッドロウのカード。
３枚集めるととあるモードでウッドロウが使用可能になります。","Obtain Woodrow's card on Yggdrasil.
Collect all 3 cards to use Woodrow.","Obtain Woodrow's card on Yggdrasil.
Collect all 3 cards to use Woodrow."
"9005","3435921409","","ユグドラシルバトルで手に入れたマリーのカード。
３枚集めるととあるモードでマリーが使用可能になります。","Obtain Mary's card on Yggdrasil.
Collect all 3 cards to use Mary.","Obtain Mary's card on Yggdrasil.
Collect all 3 cards to use Mary."
"9006","3435921409","","ユグドラシルバトルで手に入れたチェルシーのカード。
３枚集めるととあるモードでチェルシーが使用可能になります。","Obtain Chelsea's card on Yggdrasil.
Collect all 3 cards to use Chelsea.","Obtain Chelsea's card on Yggdrasil.
Collect all 3 cards to use Chelsea."
"9007","3435921409","","ユグドラシルバトルで手に入れたコングマンのカード。
３枚集めるととあるモードでコングマンが使用可能になります。","Obtain Kongman's card on Yggdrasil.
Collect all 3 cards to use Kongman.","Obtain Kongman's card on Yggdrasil.
Collect all 3 cards to use Kongman."
"9008","3435921409","","ユグドラシルバトルで手に入れたリリスのカード。
３枚集めるととあるモードでリリスが使用可能になります。","Obtain Lilith's card on Yggdrasil.
Collect all 3 cards to use Lilith.","Obtain Lilith's card on Yggdrasil.
Collect all 3 cards to use Lilith."
"9009","3435921409","","ユグドラシルバトルで手に入れたリッドのカード。
３枚集めるととあるモードでリッドが使用可能になります。","Obtain Reid's card on Yggdrasil.
Collect all 3 cards to use Reid.","Obtain Reid's card on Yggdrasil.
Collect all 3 cards to use Reid."
"9010","3435921409","","ユグドラシルバトルで手に入れたファラのカード。
３枚集めるととあるモードでファラが使用可能になります。","Obtain Farah's card on Yggdrasil.
Collect all 3 cards to use Farah.","Obtain Farah's card on Yggdrasil.
Collect all 3 cards to use Farah."
"9011","3435921409","","ユグドラシルバトルで手に入れたフォッグのカード。
３枚集めるととあるモードでフォッグが使用可能になります。","Obtain Max's card on Yggdrasil.
Collect all 3 cards to use Max.","Obtain Max's card on Yggdrasil.
Collect all 3 cards to use Max."
"9012","3435921409","","ユグドラシルバトルで手に入れたチャットのカード。
３枚集めるととあるモードでチャットが使用可能になります。","Obtain Chat's card on Yggdrasil.
Collect all 3 cards to use Chat.","Obtain Chat's card on Yggdrasil.
Collect all 3 cards to use Chat."
"9013","3435921409","","ユグドラシルバトルで手に入れたレイスのカード。
３枚集めるととあるモードでレイスが使用可能になります。","Obtain Rassius' card on Yggdrasil.
Collect all 3 cards to use Rassius.","Obtain Rassius' card on Yggdrasil.
Collect all 3 cards to use Rassius."
"9014","3435921409","","ユグドラシルバトルで手に入れたクレスのカード。
３枚集めるととあるモードでクレスが使用可能になります。","Obtain Cress' card on Yggdrasil.
Collect all 3 cards to use Cress.","Obtain Cress' card on Yggdrasil.
Collect all 3 cards to use Cress."
"9015","3435921409","","ユグドラシルバトルで手に入れたダオスのカード。
３枚集めるととあるモードでダオスが使用可能になります。","Obtain Dhaos' card on Yggdrasil.
Collect all 3 cards to use Dhaos.","Obtain Dhaos' card on Yggdrasil.
Collect all 3 cards to use Dhaos."
"9016","3435921409","","ユグドラシルバトルで手に入れたすずのカード。
３枚集めるととあるモードですずが使用可能になります。","Obtain Suzu's card on Yggdrasil.
Collect all 3 cards to use Suzu.","Obtain Suzu's card on Yggdrasil.
Collect all 3 cards to use Suzu."
"9017","3435921409","","貴重品18の説明","Key Item Description 18 ","Key Item Description 18 "
"9018","3435921409","","貴重品19の説明","Key Item Description 19 ","Key Item Description 19 "
"9019","3435921409","","貴重品20の説明","Key Item Description 20 ","Key Item Description 20 "
"9020","3435921409","","貴重品21の説明","Key Item Description 21 ","Key Item Description 21 "
"9021","3435921409","","貴重品22の説明","Key Item Description 22 ","Key Item Description 22 "
"9022","3435921409","","貴重品23の説明","Key Item Description 23 ","Key Item Description 23 "
"9023","3435921409","","貴重品24の説明","Key Item Description 24 ","Key Item Description 24 "
"9024","3435921409","","貴重品25の説明","Key Item Description 25 ","Key Item Description 25 "
"9025","3435921409","","貴重品26の説明","Key Item Description 26 ","Key Item Description 26 "
"9026","3435921409","","貴重品27の説明","Key Item Description 27 ","Key Item Description 27 "
"9027","3435921409","","貴重品28の説明","Key Item Description 28 ","Key Item Description 28 "
"9028","3435921409","","貴重品29の説明","Key Item Description 29 ","Key Item Description 29 "
"9029","3435921409","","貴重品30の説明","Key Item Description 30 ","Key Item Description 30 "
"9030","3435921409","","貴重品31の説明","Key Item Description 31 ","Key Item Description 31 "
"9031","3435921409","","貴重品32の説明","Key Item Description 32 ","Key Item Description 32 "
"10000","3435921409","Artes","無し","None","None"
"10001","3435921409","Artes","ファーストエイド","First Aid","First Aid"
"10002","3435921409","Artes","ナース","Nurse","Nurse"
"10003","3435921409","Artes","ハートレスサークル","Healing Circle","Healing Circle"
"10004","3435921409","Artes","リザレクション","Revitalize","Revitalize"
"10005","3435921409","Artes","レイズデッド","Ressurection","Ressurection"
"10006","3435921409","Artes","リカバー","Recovery","Recovery"
"10007","3435921409","Artes","リキュペレート","Purify","Purify"
"10008","3435921409","Artes","ディスペル","Dispel","Dispel"
"10009","3435921409","Artes","エスプレイドイレイズ","Nullify ","Nullify "
"10010","3435921409","Artes","バリアー","Barrier","Barrier"
"10011","3435921409","Artes","フィールドバリアー","Field Barrier","Field Barrier"
"10012","3435921409","Artes","チャージ","Charge","Charge"
"10013","3435921409","Artes","フォトン","Photon","Photon"
"10014","3435921409","Artes","レイ","Ray","Ray"
"10015","3435921409","Artes","セイクリッドシャイン","Sacred Light","Sacred Light"
"10016","3435921409","Artes","アクアエッジ","Aqua Edge","Aqua Edge"
"10017","3435921409","Artes","スプレッド","Spread","Spread"
"10018","3435921409","Artes","タイダルウェイブ","Tidal Wave","Tidal Wave"
"10019","3435921409","Artes","ファイアボール","Fireball","Fireball"
"10020","3435921409","Artes","イラプション","Eruption","Eruption"
"10021","3435921409","Artes","エクスプロード","Explode","Explode"
"10022","3435921409","Artes","ウィンドカッター","Wind Cutter","Wind Cutter"
"10023","3435921409","Artes","エアスラスト","Air Thrust","Air Thrust"
"10024","3435921409","Artes","サイクロン","Cyclone","Cyclone"
"10025","3435921409","Artes","ストーンブラスト","Stone Blast","Stone Blast"
"10026","3435921409","Artes","ロックブレイク","Stalagmite","Stalagmite"
"10027","3435921409","Artes","グランドダッシャー","Ground Dasher","Ground Dasher"
"10028","3435921409","Artes","ライトニング","Lightning","Lightning"
"10029","3435921409","Artes","サンダーブレード","Thunder Blade","Thunder Blade"
"10030","3435921409","Artes","インディグネイション","Indignation","Indignation"
"10031","3435921409","Artes","アイシクル","Icicle","Icicle"
"10032","3435921409","Artes","アイストーネード","Ice Tornado","Ice Tornado"
"10033","3435921409","Artes","レイジングミスト","Raging Mist","Raging Mist"
"10034","3435921409","Artes","グラビティ","Gravity","Gravity"
"10035","3435921409","Artes","アドプレッシャー","Dreaded Wave","Dreaded Wave"
"10036","3435921409","Artes","メテオスウォーム","Meteor Storm","Meteor Storm"
"10037","3435921409","Artes","インディグネイト・ジャッジメント","Indignant Judgment","Indignant Judgment"
